x,y,z,S_u,S_v,S_w
0.0,0.2,0.6000000000000001,1.7562036827601815,2.307374323061646,-7.611513176848233
0.0,0.2,0.65,1.6453164584146958,1.8898170604021782,-8.473741799192549
0.0,0.2,0.7000000000000001,1.493916082370778,1.4487375153582285,-8.819237671370072
0.0,0.2,0.75,1.3057305343556698,1.0102520872662728,-8.585403583431718
0.0,0.2,0.8,1.0853935671135302,0.6020686579081556,-7.759359178408356
0.0,0.2,0.8500000000000001,0.8383306080343289,0.2511489732903254,-6.380082539300883
0.0,0.2,0.9,0.5706251671255497,-0.018610602237852714,-4.535625989461865
0.0,0.2,0.9500000000000001,0.28886904080578507,-0.18846081400042114,-2.3556532505091496
0.0,0.2,1.0,2.2613358424715694e-16,-0.2464462915055856,-1.8597349799605525e-15
0.0,0.25,0.0,0.0,3.66445558668656,0.0
0.0,0.25,0.05,0.34751000783358654,3.6771192891809976,0.8011673464487437
0.0,0.25,0.1,0.6864631659547168,3.711982310674592,1.4759201622616869
0.0,0.25,0.15000000000000002,1.0085133226894114,3.760013092560593,1.9113999418713523
0.0,0.25,0.2,1.3057305343556698,3.807299032034492,2.020504174532545
0.0,0.25,0.25,1.5707963267948963,3.8366351503557485,1.7515076600578823
0.0,0.25,0.30000000000000004,1.7971839004943084,3.8295179063229217,1.0941364037466714
0.0,0.25,0.35000000000000003,1.9793188420521444,3.7683413614975043,0.0814746492547207
0.0,0.25,0.4,2.1127163847360357,3.638571243468751,-1.212503818307626
0.0,0.25,0.45,2.1940918383240433,3.4306729976754125,-2.679557401303983
0.0,0.25,0.5,2.221441469079183,3.1415926535897936,-4.187318519783327
0.0,0.25,0.55,2.1940918383240433,2.775632065080056,-5.591973959392185
0.0,0.25,0.6000000000000001,2.1127163847360357,2.344618659994753,-6.752249309778997
0.0,0.25,0.65,1.9793188420521446,1.8673385341324131,-7.5433308892181685
0.0,0.25,0.7000000000000001,1.7971839004943084,1.3682738337431342,-7.869360090477994
0.0,0.25,0.75,1.5707963267948968,0.8757538300289418,-7.673270300711498
0.0,0.25,0.8,1.30573053435567,0.41968718866883115,-6.942992319692123
0.0,0.25,0.8500000000000001,1.0085133226894105,0.029084972578867774,-5.713405596601533
0.0,0.25,0.9,0.686463165954717,-0.27039425336871803,-4.063825329209683
0.0,0.25,0.9500000000000001,0.3475100078335868,-0.45864639116708505,-2.111249211639458
0.0,0.25,1.0,2.7203913376788835e-16,-0.5228629330967676,-1.6669459838928064e-15
0.0,0.30000000000000004,0.0,0.0,3.8893193888424977,0.0
0.0,0.30000000000000004,0.05,0.39759412514893194,3.896386727912898,0.7617052633190685
0.0,0.30000000000000004,0.1,0.7853981633974482,3.914736297927051,1.4089570623758652
0.0,0.30000000000000004,0.15000000000000002,1.153863092276057,3.936143176994812,1.839487719849652
0.0,0.30000000000000004,0.2,1.493916082370778,3.9479733780624215,1.9741841154712283
0.0,0.30000000000000004,0.25,1.7971839004943082,3.9346800452389967,1.7657421481235347
0.0,0.30000000000000004,0.30000000000000004,2.0561990864762634,3.8796795892041773,1.2041373158163107
0.0,0.30000000000000004,0.35000000000000003,2.2645838268156484,3.76741538842907,0.31835522838612995
0.0,0.30000000000000004,0.4,2.417206997616006,3.58539620304187,-0.8258057906071254
0.0,0.30000000000000004,0.45,2.510310509884968,3.3259970708280986,-2.1316606729902605
0.0,0.30000000000000004,0.5,2.5416018461576297,2.987832164741555,-3.480724747752726
0.0,0.30000000000000004,0.55,2.5103105098849676,2.57654980122109,-4.744081827362379
0.0,0.30000000000000004,0.6000000000000001,2.417206997616006,2.1049555428784656,-5.794926114952946
0.0,0.30000000000000004,0.65,2.264583826815649,1.5924347000633532,-6.52105214668931
0.0,0.30000000000000004,0.7000000000000001,2.0561990864762634,1.0637141155307697,-6.836068263163126
0.0,0.30000000000000004,0.75,1.7971839004943084,0.5470682018733362,-6.688230293283111
0.0,0.30000000000000004,0.8,1.4939160823707782,0.07212941142729812,-6.066021463508211
0.0,0.30000000000000004,0.8500000000000001,1.1538630922760562,-0.3324967712625704,-4.999919655225786
0.0,0.30000000000000004,0.9,0.7853981633974485,-0.6415915496227207,-3.5601632619699553
0.0,0.30000000000000004,0.9500000000000001,0.3975941251489322,-0.8354371057374199,-1.8507158910530501
0.0,0.30000000000000004,1.0,3.1124617696913174e-16,-0.9014872241009422,-1.461530600879063e-15
0.0,0.35000000000000003,0.0,0.0,3.908965496837469,0.0
