x,y,S_u,S_v,S_p
0.92,0.1,-1.2301746898790875,2.2571461673462805,0.0
0.9400000000000001,0.1,-1.1800857049105387,2.0823255956104396,0.0
0.96,0.1,-1.1185022168659786,1.9029308435037757,0.0
0.98,0.1,-1.0478855492921255,1.7196699001551856,0.0
1.0,0.1,-0.9708055193627333,1.533266012784106,0.0
0.0,0.12,1.156497390320213,0.3486353384457115,0.0
0.02,0.12,1.4663280580281481,0.53347900128347,0.0
0.04,0.12,1.7680439619667614,0.7204609212377979,0.0
0.06,0.12,2.058163241855565,0.908843166094547,0.0
0.08,0.12,2.333322647785504,1.0978822771969305,0.0
0.1,0.12,2.590325797056647,1.2868322035371813,0.0
0.12,0.12,2.826189071964399,1.4749472460790454,0.0
0.14,0.12,3.0381844525018797,1.6614850006911972,0.0
0.16,0.12,3.223878625138477,1.845709288077177,0.0
0.18,0.12,3.3811677663514605,2.026893059138742,0.0
0.2,0.12,3.5083074665267073,2.2043212643065058,0.0
0.22,0.12,3.6039373351553774,2.3772936755139056,0.0
0.24,0.12,3.6670999107533353,2.5451276496774855,0.0
0.26,0.12,3.6972535873235834,2.7071608227772694,0.0
0.28,0.12,3.694279362080602,2.862753723904949,0.0
0.3,0.12,3.6584813050999805,3.011292298963407,0.0
0.32,0.12,3.590580749039834,3.152190334057709,0.0
0.34,0.12,3.491704294570971,3.284891769013527,0.0
0.36,0.12,3.3633658231191554,3.4088728918926083,0.0
0.38,0.12,3.2074428014578666,3.5236444058445358,0.0
0.4,0.12,3.0261472511342555,3.6287533601378597,0.0
0.42,0.12,2.821991838275892,3.7237849377496977,0.0
0.44,0.12,2.597751614715585,3.8083640924590134,0.0
0.46,0.12,2.3564220084032135,3.88215702898271,0.0
0.48,0.12,2.101173718696108,3.944872520313113,0.0
0.5,0.12,1.8353052194304171,3.9962630570579263,0.0
0.52,0.12,1.5621936089348327,4.036125824246718,0.0
0.54,0.12,1.2852445707890068,4.064303501748962,0.0
0.56,0.12,1.007842221769048,4.080684885144713,0.0
0.58,0.12,0.733299623867687,4.085205324597649,0.0
0.6,0.12,0.4648107255253542,4.077846979998444,0.0
0.62,0.12,0.20540447345089197,4.058638891371521,0.0
0.64,0.12,-0.04209819897370437,4.0276568642673505,0.0
0.66,0.12,-0.2751238471584858,3.98502317059257,0.0
0.68,0.12,-0.49138185187042627,3.9309060660586326,0.0
0.7000000000000001,0.12,-0.6888950803314815,3.865519126153381,0.0
0.72,0.12,-0.8660254098672775,3.7891204032561694,0.0
0.74,0.12,-1.021493733908496,3.7020114082230156,0.0
0.76,0.12,-1.1543941578395172,3.6045359204610037,0.0
0.78,0.12,-1.2642021844035158,3.497078631188013,0.0
0.8,0.12,-1.3507767836535067,3.3800636252322396,0.0
0.8200000000000001,0.12,-1.414356339280212,3.25395270736312,0.0
0.84,0.12,-1.45554856002116,3.1192435797588867,0.0
0.86,0.12,-1.4753145402323529,2.9764678778034446,0.0
0.88,0.12,-1.4749472460790454,2.8261890719643996,0.0
0.9,0.12,-1.4560447917185657,2.6690002440325427,0.0
0.92,0.12,-1.420478951919065,2.5055217464989763,0.0
0.9400000000000001,0.12,-1.3703594324897383,2.336398754307244,0.0
0.96,0.12,-1.3079944865094437,2.162298718642583,0.0
0.98,0.12,-1.2358485215823558,1.983908732807018,0.0
1.0,0.12,-1.1564973903202131,1.8019328205760112,0.0
0.0,0.14,1.337625094431499,0.3698647375143639,0.0
0.02,0.14,1.6440060274501136,0.550011389289747,0.0
0.04,0.14,1.9415709829274406,0.7327639750048879,0.0
0.06,0.14,2.2268544824801806,0.9174012536956835,0.0
0.08,0.14,2.4965123608150077,1.1031945463758899,0.0
0.1,0.14,2.7473699472480004,1.2894106118001805,0.0
0.12,0.14,2.976467877803444,1.475314540232353,0.0
0.14,0.14,3.181104832197824,1.6601726537983115,0.0
0.16,0.14,3.3588765372467733,1.843255401977451,0.0
0.18,0.14,3.507710435787696,2.0238402408052583,0.0
0.2,0.14,3.6258954871864644,2.2012144844242463,0.0
0.22,0.14,3.7121066408419674,2.3746781177294345,0.0
0.24,0.14,3.7654236066350695,2.543546559008163,0.0
0.26,0.14,3.785343634692639,2.7071533616713572,0.0
0.28,0.14,3.771788109764528,2.8648528444137433,0.0
0.3,0.14,3.7251028614820485,3.016022639422978,0.0
0.32,0.14,3.6460521892734974,3.1600661485810697,0.0
0.34,0.14,3.535806698224118,3.2964148979645924,0.0
0.36,0.14,3.395925138153038,3.424530781351545,0.0
0.38,0.14,3.228330531130982,3.5439081838807804,0.0
0.4,0.14,3.0352809611202805,3.6540759774828624,0.0
0.42,0.14,2.819335481994308,3.7545993802073228,0.0
0.44,0.14,2.5833156755910593,3.8450816721083805,0.0
0.46,0.14,2.3302634584923188,3.92516576091733,0.0
0.48,0.14,2.0633957938446374,3.9945355913225815,0.0
0.5,0.14,1.7860570118486676,4.052917392295587,0.0
0.52,0.14,1.5016694787987634,4.100080757540014,0.0
0.54,0.14,1.2136833791894204,4.1358395548001345,0.0
0.56,0.14,0.9255263880359885,4.160052660439804,0.0
0.58,0.14,0.6405540109903725,4.172624516392976,0.0
0.6,0.14,0.36200135806637057,4.173505507287741,0.0
0.62,0.14,0.09293709301446795,4.162692156255523,0.0
0.64,0.14,-0.16377973501844512,4.140227138652696,0.0
0.66,0.14,-0.4055393173797799,4.106199113640446,0.0
0.68,0.14,-0.6300165659884722,4.060742374287573,0.0
0.7000000000000001,0.14,-0.8352019104658304,4.004036317577093,0.0
0.72,0.14,-1.019426949800622,3.93630473640831,0.0
0.74,0.14,-1.1813845778452174,3.857814936388479,0.0
0.76,0.14,-1.3201432896657743,3.768876680899703,0.0
0.78,0.14,-1.4351554680195666,3.6698409686043694,0.0
0.8,0.14,-1.5262595445500446,3.561098648213796,0.0
0.8200000000000001,0.14,-1.5936760271704253,3.443078875986922,0.0
0.84,0.14,-1.63799748202032,3.3162474220466254,0.0
0.86,0.14,-1.6601726537983121,3.181104832197825,0.0
0.88,0.14,-1.6614850006911976,3.03818445250188,0.0
0.9,0.14,-1.6435260080804506,2.888050324403338,0.0
0.92,0.14,-1.6081637273217217,2.731294958716047,0.0
0.9400000000000001,0.14,-1.557507060869672,2.5685369972536596,0.0
0.96,0.14,-1.4938663816770557,2.400418771333028,0.0
0.98,0.14,-1.4197111320842122,2.227603766785949,0.0
1.0,0.14,-1.3376250944314991,2.0507740054837047,0.0
0.0,0.16,1.5134738033978403,0.375323567557869,0.0
0.02,0.16,1.8159728238774715,0.5500622517374951,0.0
0.04,0.16,2.1089771924344727,0.7278642622493462,0.0
0.06,0.16,2.389039429238585,0.908027895787944,0.0
0.08,0.16,2.652835974935183,1.089842128800647,0.0
0.1,0.16,2.8972152908424795,1.2725894235727748,0.0
0.12,0.16,3.1192435797588858,1.4555485600211604,0.0
0.14,0.16,3.3162474220466245,1.6379974820203205,0.0
0.16,0.16,3.4858526689275746,1.8192161470281074,0.0
0.18,0.16,3.626018992518632,1.9984893677646687,0.0
0.2,0.16,3.7350695591441543,2.1751096347299006,0.0
0.22,0.16,3.811715367841285,2.3483799084202173,0.0
0.24,0.16,3.8550738785374463,2.5176163702250203,0.0
0.26,0.16,3.86468164283219,2.682151121146351,0.0
0.28,0.16,3.8405007432692155,2.8413348176911004,0.0
0.3,0.16,3.7829189429792436,2.99453923453312,0.0
0.32,0.16,3.6927435451031876,3.141159743831574,0.0
0.34,0.16,3.5711890589360937,3.280617701420803,0.0
0.36,0.16,3.4198588657342324,3.4123627304544786,0.0
0.38,0.16,3.240721170092913,3.5358748934915853,0.0
0.4,0.16,3.0360796112717092,3.650666744451957,0.0
0.42,0.16,2.808538991427955,3.7562852523432593,0.0
0.44,0.16,2.560966653122743,3.8523135891673523,0.0
0.46,0.16,2.2964501055034234,3.938372774949966,0.0
0.48,0.16,2.0182515561915606,4.014123173401517,0.0
0.5,0.16,1.7297600532129842,4.079265832306383,0.0
0.52,0.16,1.434441977556575,4.133543663350718,0.0
0.54,0.16,1.1357906515748055,4.176742456732569,0.0
0.56,0.16,0.8372758410590408,4.208691726550113,0.0
0.58,0.16,0.5422939292421696,4.229265383631609,0.0
0.6,0.16,0.25411952919881164,4.2383822331517695,0.0
0.62,0.16,-0.02414072268042622,4.23600629507063,0.0
0.64,0.16,-0.2895914848898933,4.222146946130333,0.0
0.66,0.16,-0.5395884799289608,4.196858882849412,0.0
0.68,0.16,-0.7717741104120406,4.1602419056606195,0.0
0.7000000000000001,0.16,-0.9841083844988088,4.112440525044215,0.0
0.72,0.16,-1.1748946876188988,4.053643391211117,0.0
0.74,0.16,-1.3428000193140766,3.98408254958671,0.0
0.76,0.16,-1.4868694017814403,3.9040325250335592,0.0
0.78,0.16,-1.6065342589874325,3.813809238427199,0.0
0.8,0.16,-1.7016146605776834,3.713768759860766,0.0
0.8200000000000001,0.16,-1.7723154217270078,3.6043059033990135,0.0
0.84,0.16,-1.819216147028107,3.4858526689275755,0.0
0.86,0.16,-1.8432554019774505,3.3588765372467733,0.0
0.88,0.16,-1.845709288077177,3.223878625138477,0.0
0.9,0.16,-1.828164785575029,3.0813917076870974,0.0
0.92,0.16,-1.7924883100235622,2.9319781156597338,0.0
0.9400000000000001,0.16,-1.7407900038607411,2.7762275162435426,0.0
0.96,0.16,-1.6753843509153803,2.614754585898739,0.0
0.98,0.16,-1.5987477590728798,2.448196584511428,0.0
1.0,0.16,-1.5134738033978405,2.2772108404199725,0.0
0.0,0.18,1.68334952270258,0.3636193116090145,0.0
0.02,0.18,1.9815497729288798,0.5322604144369378,0.0
0.04,0.18,2.269601914659556,0.704410146440021,0.0
0.06,0.18,2.5440780122411764,0.8793891112737795,0.0
0.08,0.18,2.8016765522585616,1.0565067469042984,0.0
