x,rho,u,p,e
0.3165829146,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3216080402,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3266331658,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3316582915,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3366834171,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3417085427,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3467336683,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3517587940,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3567839196,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3618090452,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3668341709,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3718592965,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3768844221,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3819095477,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3869346734,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3919597990,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3969849246,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4020100503,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4070351759,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4120603015,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4170854271,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4221105528,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4271356784,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4321608040,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4371859296,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4422110553,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4472361809,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4522613065,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4572864322,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4623115578,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4673366834,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4723618090,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4773869347,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4824120603,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4874371859,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4924623116,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.4974874372,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5025125628,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5075376884,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5125628141,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5175879397,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5226130653,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5276381910,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5326633166,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5376884422,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5427135678,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5477386935,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5527638191,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5577889447,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5628140704,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5678391960,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5728643216,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5778894472,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5829145729,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5879396985,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5929648241,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.5979899497,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6030150754,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6080402010,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6130653266,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6180904523,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6231155779,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6281407035,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6331658291,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6381909548,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6432160804,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6482412060,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6532663317,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6582914573,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6633165829,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6683417085,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6733668342,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6783919598,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6834170854,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.6884422111,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.6934673367,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.6984924623,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7035175879,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7085427136,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7135678392,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7185929648,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7236180905,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7286432161,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7336683417,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7386934673,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7437185930,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7487437186,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7537688442,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7587939698,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7638190955,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7688442211,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7738693467,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7788944724,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7839195980,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7889447236,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7939698492,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.7989949749,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8040201005,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8090452261,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8140703518,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8190954774,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8241206030,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8291457286,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8341708543,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8391959799,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8442211055,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8492462312,0.2655737117,0.9274526200,0.3031301781,2.8535408880
0.8542713568,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.8592964824,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.8643216080,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.8693467337,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.8743718593,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.8793969849,0.1250000000,0.0000000000,0.1000000000,2.0000000000
0.8844221106,0.1250000000,0.0000000000,0.1000000000,2.0000000000
